account,airport,analyst,architect,assistant,attorney,automotive,clerk,court,custodian,engineer,fire,food service,gardener,general laborer,library,management,mayor,medical,other,police,porter,social worker,transit
-0.4,2.8,17.1,27.6,5.6,-28.9,10.0,-0.8,-18.1,2.9,3.3,-1.1,-2.3,-12.5,28.9,3.7,2.6,10.0,3.4,12.2,-8.0,-7.7,7.2,9.3
3.3,-2.7,4.1,13.5,-3.1,4.8,9.1,1.7,5.2,5.6,7.6,0.0,-4.7,8.2,-4.3,10.7,6.3,9.1,-1.8,-0.5,0.7,3.3,-1.0,-0.8
11.7,11.1,11.3,2.4,62.0,1.5,-8.3,28.6,-60.5,12.5,41.0,3.8,95.1,28.3,9.9,51.6,9.5,37.5,43.3,25.2,12.9,24.2,16.0,28.4
