account,airport,analyst,architect,assistant,attorney,automotive,clerk,court,custodian,engineer,fire,food service,gardener,general laborer,guard,library,management,mayor,medical,other,police,porter,public works,recreation leader,social worker,transit,
10.3,2.0,0.4,23.0,-16.1,10.2,1.8,5.4,-5.3,5.0,0.0,4.5,-0.5,-2.5,31.3,-7.8,11.9,2.3,16.7,4.5,10.1,0.7,-4.5,11.3,12.1,6.5,10.3,
5.8,-1.7,7.0,3.5,6.0,7.4,11.7,8.2,10.1,14.7,4.8,4.2,-0.9,4.7,2.6,-6.9,11.7,2.8,-7.1,5.5,2.8,6.9,15.6,-3.2,7.1,3.6,-1.1,
-3.0,-3.3,-3.8,6.4,-7.1,-1.7,15.6,-3.7,-13.4,4.6,-3.2,-1.9,-3.1,1.2,-3.3,-6.5,-0.6,2.4,-3.9,-0.9,-0.8,-4.8,-6.0,1.5,0.7,-1.0,-5.4,
