account,airport,analyst,architect,assistant,attorney,automotive,clerk,court,custodian,engineer,fire,food service,gardener,general laborer,guard,library,management,mayor,medical,other,police,porter,public works,recreation leader,social worker,transit
-4.9,1.3,17.4,30.6,48.1,-30.1,6.3,3.3,-12.9,1.6,-2.3,-1.4,7.6,4.8,11.4,-0.5,-3.7,-7.2,-6.8,-0.1,10.7,-4.2,-4.1,-4.2,-9.3,5.4,-3.1
2.0,0.0,4.7,5.4,2.4,0.5,3.8,-4.7,2.7,-3.6,1.7,0.7,4.1,3.0,-0.6,10.0,-3.6,9.3,14.6,1.2,0.2,1.0,-6.6,13.7,7.5,-0.3,2.4
2.4,2.6,5.3,0.0,1.1,3.8,1.7,7.2,-67.2,-1.8,3.3,4.1,2.8,-1.9,-2.0,6.8,-8.0,0.1,12.8,0.1,2.6,1.4,0.0,7.4,1.9,2.9,2.9
